time,u0,u1,tau
0.000000e+00,1.000000e+00,1.000000e-01,1.000000e-02
1.000000e-02,9.905055e-01,1.904365e-02,1.000000e-02
2.000000e-02,9.760398e-01,-5.756432e-02,1.000000e-02
3.000000e-02,9.571038e-01,-1.299879e-01,1.000000e-02
4.000000e-02,9.341463e-01,-1.983476e-01,1.000000e-02
5.000000e-02,9.075740e-01,-2.627371e-01,1.000000e-02
6.000000e-02,8.777597e-01,-3.232335e-01,1.000000e-02
7.000000e-02,8.450473e-01,-3.799048e-01,1.000000e-02
8.000000e-02,8.097561e-01,-4.328142e-01,1.000000e-02
9.000000e-02,7.721835e-01,-4.820232e-01,1.000000e-02
1.000000e-01,7.326075e-01,-5.275937e-01,1.000000e-02
1.100000e-01,6.912885e-01,-5.695889e-01,1.000000e-02
1.200000e-01,6.484702e-01,-6.080745e-01,1.000000e-02
1.300000e-01,6.043817e-01,-6.431188e-01,1.000000e-02
1.400000e-01,5.592375e-01,-6.747926e-01,1.000000e-02
1.500000e-01,5.132391e-01,-7.031697e-01,1.000000e-02
1.600000e-01,4.665755e-01,-7.283264e-01,1.000000e-02
1.700000e-01,4.194241e-01,-7.503411e-01,1.000000e-02
1.800000e-01,3.719510e-01,-7.692943e-01,1.000000e-02
1.900000e-01,3.243121e-01,-7.852683e-01,1.000000e-02
2.000000e-01,2.766533e-01,-7.983468e-01,1.000000e-02
2.100000e-01,2.291115e-01,-8.086145e-01,1.000000e-02
2.200000e-01,1.818147e-01,-8.161572e-01,1.000000e-02
2.300000e-01,1.348830e-01,-8.210611e-01,1.000000e-02
2.400000e-01,8.842858e-02,-8.234131e-01,1.000000e-02
2.500000e-01,4.255672e-02,-8.233003e-01,1.000000e-02
2.600000e-01,-2.634191e-03,-8.208097e-01,1.000000e-02
2.700000e-01,-4.705202e-02,-8.160285e-01,1.000000e-02
2.800000e-01,-9.061055e-02,-8.090438e-01,1.000000e-02
2.900000e-01,-1.332291e-01,-7.999426e-01,1.000000e-02
3.000000e-01,-1.748324e-01,-7.888117e-01,1.000000e-02
3.100000e-01,-2.153499e-01,-7.757374e-01,1.000000e-02
3.200000e-01,-2.547159e-01,-7.608063e-01,1.000000e-02
3.300000e-01,-2.928692e-01,-7.441043e-01,1.000000e-02
3.400000e-01,-3.297526e-01,-7.257173e-01,1.000000e-02
3.500000e-01,-3.653134e-01,-7.057311e-01,1.000000e-02
3.600000e-01,-3.995027e-01,-6.842310e-01,1.000000e-02
3.700000e-01,-4.322753e-01,-6.613025e-01,1.000000e-02
3.800000e-01,-4.635900e-01,-6.370306e-01,1.000000e-02
3.900000e-01,-4.934091e-01,-6.115003e-01,1.000000e-02
4.000000e-01,-5.216987e-01,-5.847964e-01,1.000000e-02
4.100000e-01,-5.484283e-01,-5.570036e-01,1.000000e-02
4.200000e-01,-5.735710e-01,-5.282061e-01,1.000000e-02
4.300000e-01,-5.971036e-01,-4.984880e-01,1.000000e-02
4.400000e-01,-6.190063e-01,-4.679332e-01,1.000000e-02
4.500000e-01,-6.392628e-01,-4.366250e-01,1.000000e-02
4.600000e-01,-6.578603e-01,-4.046463e-01,1.000000e-02
4.700000e-01,-6.747896e-01,-3.720794e-01,1.000000e-02
4.800000e-01,-6.900449e-01,-3.390060e-01,1.000000e-02
4.900000e-01,-7.036240e-01,-3.055069e-01,1.000000e-02
5.000000e-01,-7.155280e-01,-2.716621e-01,1.000000e-02
5.100000e-01,-7.257616e-01,-2.375504e-01,1.000000e-02
5.200000e-01,-7.343325e-01,-2.032495e-01,1.000000e-02
5.300000e-01,-7.412522e-01,-1.688357e-01,1.000000e-02
5.400000e-01,-7.465351e-01,-1.343840e-01,1.000000e-02
5.500000e-01,-7.501989e-01,-9.996748e-02,1.000000e-02
5.600000e-01,-7.522644e-01,-6.565774e-02,1.000000e-02
5.700000e-01,-7.527551e-01,-3.152430e-02,1.000000e-02
5.800000e-01,-7.516978e-01,2.365341e-03,1.000000e-02
5.900000e-01,-7.491216e-01,3.594582e-02,1.000000e-02
6.000000e-01,-7.450584e-01,6.915410e-02,1.000000e-02
6.100000e-01,-7.395424e-01,1.019295e-01,1.000000e-02
6.200000e-01,-7.326101e-01,1.342139e-01,1.000000e-02
6.300000e-01,-7.243001e-01,1.659516e-01,1.000000e-02
6.400000e-01,-7.146528e-01,1.970898e-01,1.000000e-02
6.500000e-01,-7.037105e-01,2.275782e-01,1.000000e-02
6.600000e-01,-6.915171e-01,2.573692e-01,1.000000e-02
6.700000e-01,-6.781176e-01,2.864183e-01,1.000000e-02
6.800000e-01,-6.635584e-01,3.146834e-01,1.000000e-02
6.900000e-01,-6.478870e-01,3.421253e-01,1.000000e-02
7.000000e-01,-6.311515e-01,3.687078e-01,1.000000e-02
7.100000e-01,-6.134010e-01,3.943971e-01,1.000000e-02
7.200000e-01,-5.946847e-01,4.191623e-01,1.000000e-02
7.300000e-01,-5.750526e-01,4.429752e-01,1.000000e-02
7.400000e-01,-5.545547e-01,4.658101e-01,1.000000e-02
7.500000e-01,-5.332411e-01,4.876437e-01,1.000000e-02
7.600000e-01,-5.111618e-01,5.084555e-01,1.000000e-02
7.700000e-01,-4.883669e-01,5.282270e-01,1.000000e-02
7.800000e-01,-4.649060e-01,5.469423e-01,1.000000e-02
7.900000e-01,-4.408284e-01,5.645874e-01,1.000000e-02
8.000000e-01,-4.161830e-01,5.811506e-01,1.000000e-02
8.100000e-01,-3.910182e-01,5.966222e-01,1.000000e-02
8.200000e-01,-3.653819e-01,6.109942e-01,1.000000e-02
8.300000e-01,-3.393211e-01,6.242607e-01,1.000000e-02
8.400000e-01,-3.128825e-01,6.364173e-01,1.000000e-02
8.500000e-01,-2.861119e-01,6.474614e-01,1.000000e-02
8.600000e-01,-2.590544e-01,6.573918e-01,1.000000e-02
8.700000e-01,-2.317544e-01,6.662087e-01,1.000000e-02
8.800000e-01,-2.042555e-01,6.739140e-01,1.000000e-02
8.900000e-01,-1.766006e-01,6.805106e-01,1.000000e-02
9.000000e-01,-1.488318e-01,6.860028e-01,1.000000e-02
9.100000e-01,-1.209905e-01,6.903959e-01,1.000000e-02
9.200000e-01,-9.311738e-02,6.936967e-01,1.000000e-02
9.300000e-01,-6.525227e-02,6.959125e-01,1.000000e-02
9.400000e-01,-3.743441e-02,6.970523e-01,1.000000e-02
9.500000e-01,-9.702283e-03,6.971255e-01,1.000000e-02
9.600000e-01,1.790630e-02,6.961429e-01,1.000000e-02
9.700000e-01,4.535419e-02,6.941160e-01,1.000000e-02
9.800000e-01,7.260493e-02,6.910572e-01,1.000000e-02
9.900000e-01,9.962267e-02,6.869800e-01,1.000000e-02
1.000000e+00,1.263722e-01,6.818986e-01,1.000000e-02
1.010000e+00,1.528190e-01,6.758283e-01,1.000000e-02
1.020000e+00,1.789292e-01,6.687850e-01,1.000000e-02
1.030000e+00,2.046693e-01,6.607857e-01,1.000000e-02
1.040000e+00,2.300068e-01,6.518482e-01,1.000000e-02
1.050000e+00,2.549096e-01,6.419912e-01,1.000000e-02
1.060000e+00,2.793464e-01,6.312344e-01,1.000000e-02
1.070000e+00,3.032864e-01,6.195982e-01,1.000000e-02
1.080000e+00,3.266996e-01,6.071041e-01,1.000000e-02
1.090000e+00,3.495568e-01,5.937743e-01,1.000000e-02
1.100000e+00,3.718294e-01,5.796322e-01,1.000000e-02
1.110000e+00,3.934896e-01,5.647018e-01,1.000000e-02
1.120000e+00,4.145106e-01,5.490083e-01,1.000000e-02
1.130000e+00,4.348662e-01,5.325777e-01,1.000000e-02
1.140000e+00,4.545314e-01,5.154367e-01,1.000000e-02
1.150000e+00,4.734818e-01,4.976133e-01,1.000000e-02
1.160000e+00,4.916942e-01,4.791361e-01,1.000000e-02
1.170000e+00,5.091467e-01,4.600345e-01,1.000000e-02
1.180000e+00,5.258180e-01,4.403389e-01,1.000000e-02
1.190000e+00,5.416883e-01,4.200804e-01,1.000000e-02
1.200000e+00,5.567389e-01,3.992909e-01,1.000000e-02
1.210000e+00,5.709525e-01,3.780030e-01,1.000000e-02
1.220000e+00,5.843128e-01,3.562499e-01,1.000000e-02
1.230000e+00,5.968052e-01,3.340655e-01,1.000000e-02
1.240000e+00,6.084162e-01,3.114842e-01,1.000000e-02
1.250000e+00,6.191340e-01,2.885409e-01,1.000000e-02
1.260000e+00,6.289481e-01,2.652710e-01,1.000000e-02
1.270000e+00,6.378495e-01,2.417100e-01,1.000000e-02
1.280000e+00,6.458308e-01,2.178940e-01,1.000000e-02
1.290000e+00,6.528861e-01,1.938591e-01,1.000000e-02
1.300000e+00,6.590112e-01,1.696415e-01,1.000000e-02
1.310000e+00,6.642032e-01,1.452775e-01,1.000000e-02
1.320000e+00,6.684610e-01,1.208034e-01,1.000000e-02
1.330000e+00,6.717850e-01,9.625523e-02,1.000000e-02
1.340000e+00,6.741771e-01,7.166889e-02,1.000000e-02
1.350000e+00,6.756409e-01,4.707992e-02,1.000000e-02
1.360000e+00,6.761812e-01,2.252352e-02,1.000000e-02
1.370000e+00,6.758046e-01,-1.965613e-03,1.000000e-02
1.380000e+00,6.745190e-01,-2.635331e-02,1.000000e-02
1.390000e+00,6.723337e-01,-5.060603e-02,1.000000e-02
1.400000e+00,6.692594e-01,-7.469092e-02,1.000000e-02
1.410000e+00,6.653080e-01,-9.857586e-02,1.000000e-02
1.420000e+00,6.604927e-01,-1.222296e-01,1.000000e-02
1.430000e+00,6.548280e-01,-1.456216e-01,1.000000e-02
1.440000e+00,6.483293e-01,-1.687225e-01,1.000000e-02
1.450000e+00,6.410133e-01,-1.915037e-01,1.000000e-02
1.460000e+00,6.328973e-01,-2.139377e-01,1.000000e-02
1.470000e+00,6.239999e-01,-2.359980e-01,1.000000e-02
1.480000e+00,6.143403e-01,-2.576591e-01,1.000000e-02
1.490000e+00,6.039386e-01,-2.788968e-01,1.000000e-02
1.500000e+00,5.928154e-01,-2.996876e-01,1.000000e-02
1.510000e+00,5.809922e-01,-3.200095e-01,1.000000e-02
1.520000e+00,5.684908e-01,-3.398415e-01,1.000000e-02
1.530000e+00,5.553337e-01,-3.591635e-01,1.000000e-02
1.540000e+00,5.415435e-01,-3.779568e-01,1.000000e-02
1.550000e+00,5.271434e-01,-3.962036e-01,1.000000e-02
1.560000e+00,5.121569e-01,-4.138871e-01,1.000000e-02
1.570000e+00,4.966076e-01,-4.309919e-01,1.000000e-02
1.580000e+00,4.805194e-01,-4.475032e-01,1.000000e-02
1.590000e+00,4.639163e-01,-4.634075e-01,1.000000e-02
1.600000e+00,4.468223e-01,-4.786921e-01,1.000000e-02
1.610000e+00,4.292615e-01,-4.933454e-01,1.000000e-02
1.620000e+00,4.112581e-01,-5.073565e-01,1.000000e-02
1.630000e+00,3.928361e-01,-5.207155e-01,1.000000e-02
1.640000e+00,3.740197e-01,-5.334135e-01,1.000000e-02
1.650000e+00,3.548326e-01,-5.454421e-01,1.000000e-02
1.660000e+00,3.352989e-01,-5.567938e-01,1.000000e-02
1.670000e+00,3.154423e-01,-5.674619e-01,1.000000e-02
1.680000e+00,2.952863e-01,-5.774404e-01,1.000000e-02
1.690000e+00,2.748545e-01,-5.867238e-01,1.000000e-02
1.700000e+00,2.541702e-01,-5.953075e-01,1.000000e-02
1.710000e+00,2.332566e-01,-6.031872e-01,1.000000e-02
1.720000e+00,2.121368e-01,-6.103596e-01,1.000000e-02
1.730000e+00,1.908336e-01,-6.168215e-01,1.000000e-02
1.740000e+00,1.693698e-01,-6.225706e-01,1.000000e-02
1.750000e+00,1.477681e-01,-6.276049e-01,1.000000e-02
1.760000e+00,1.260508e-01,-6.319230e-01,1.000000e-02
1.770000e+00,1.042406e-01,-6.355240e-01,1.000000e-02
1.780000e+00,8.235952e-02,-6.384074e-01,1.000000e-02
1.790000e+00,6.042988e-02,-6.405732e-01,1.000000e-02
1.800000e+00,3.847374e-02,-6.420219e-01,1.000000e-02
1.810000e+00,1.651316e-02,-6.427544e-01,1.000000e-02
1.820000e+00,-5.429894e-03,-6.427722e-01,1.000000e-02
1.830000e+00,-2.733351e-02,-6.420769e-01,1.000000e-02
1.840000e+00,-4.917580e-02,-6.406711e-01,1.000000e-02
1.850000e+00,-7.093493e-02,-6.385576e-01,1.000000e-02
1.860000e+00,-9.258908e-02,-6.357395e-01,1.000000e-02
1.870000e+00,-1.141165e-01,-6.322207e-01,1.000000e-02
1.880000e+00,-1.354953e-01,-6.280056e-01,1.000000e-02
1.890000e+00,-1.567039e-01,-6.230989e-01,1.000000e-02
1.900000e+00,-1.777206e-01,-6.175062e-01,1.000000e-02
1.910000e+00,-1.985236e-01,-6.112334e-01,1.000000e-02
1.920000e+00,-2.190913e-01,-6.042871e-01,1.000000e-02
1.930000e+00,-2.394021e-01,-5.966745e-01,1.000000e-02
1.940000e+00,-2.594346e-01,-5.884034e-01,1.000000e-02
1.950000e+00,-2.791674e-01,-5.794823e-01,1.000000e-02
1.960000e+00,-2.985790e-01,-5.699205e-01,1.000000e-02
1.970000e+00,-3.176484e-01,-5.597278e-01,1.000000e-02
1.980000e+00,-3.363545e-01,-5.489148e-01,1.000000e-02
1.990000e+00,-3.546765e-01,-5.374928e-01,1.000000e-02
2.000000e+00,-3.725938e-01,-5.254739e-01,1.000000e-02
2.010000e+00,-3.900862e-01,-5.128709e-01,1.000000e-02
2.020000e+00,-4.071335e-01,-4.996976e-01,1.000000e-02
2.030000e+00,-4.237160e-01,-4.859682e-01,1.000000e-02
2.040000e+00,-4.398146e-01,-4.716980e-01,1.000000e-02
2.050000e+00,-4.554103e-01,-4.569029e-01,1.000000e-02
