time,x,y
0.000000e+00,1.000000e+00,1.000000e-01
1.000000e-03,1.000008e+00,9.596166e-02
2.000000e-03,9.999999e-01,9.192805e-02
3.000000e-03,9.999762e-01,8.789923e-02
4.000000e-03,9.999368e-01,8.387525e-02
5.000000e-03,9.998817e-01,7.985614e-02
6.000000e-03,9.998110e-01,7.584195e-02
7.000000e-03,9.997247e-01,7.183273e-02
8.000000e-03,9.996228e-01,6.782852e-02
9.000000e-03,9.995055e-01,6.382937e-02
1.000000e-02,9.993727e-01,5.983532e-02
1.100000e-02,9.992246e-01,5.584641e-02
1.200000e-02,9.990611e-01,5.186269e-02
1.300000e-02,9.988823e-01,4.788421e-02
1.400000e-02,9.986883e-01,4.391099e-02
1.500000e-02,9.984790e-01,3.994310e-02
1.600000e-02,9.982546e-01,3.598057e-02
1.700000e-02,9.980151e-01,3.202343e-02
1.800000e-02,9.977606e-01,2.807175e-02
1.900000e-02,9.974910e-01,2.412555e-02
2.000000e-02,9.972065e-01,2.018488e-02
2.100000e-02,9.969071e-01,1.624978e-02
2.200000e-02,9.965927e-01,1.232030e-02
2.300000e-02,9.962636e-01,8.396468e-03
2.400000e-02,9.959197e-01,4.478331e-03
2.500000e-02,9.955611e-01,5.659298e-04
2.600000e-02,9.951877e-01,-3.340696e-03
2.700000e-02,9.947998e-01,-7.241505e-03
2.800000e-02,9.943973e-01,-1.113646e-02
2.900000e-02,9.939802e-01,-1.502552e-02
3.000000e-02,9.935486e-01,-1.890864e-02
3.100000e-02,9.931026e-01,-2.278579e-02
3.200000e-02,9.926422e-01,-2.665692e-02
3.300000e-02,9.921675e-01,-3.052200e-02
3.400000e-02,9.916785e-01,-3.438099e-02
3.500000e-02,9.911752e-01,-3.823385e-02
3.600000e-02,9.906577e-01,-4.208054e-02
3.700000e-02,9.901260e-01,-4.592102e-02
3.800000e-02,9.895802e-01,-4.975526e-02
3.900000e-02,9.890204e-01,-5.358322e-02
4.000000e-02,9.884465e-01,-5.740486e-02
4.100000e-02,9.878587e-01,-6.122014e-02
4.200000e-02,9.872570e-01,-6.502903e-02
4.300000e-02,9.866414e-01,-6.883149e-02
4.400000e-02,9.860119e-01,-7.262748e-02
4.500000e-02,9.853687e-01,-7.641697e-02
4.600000e-02,9.847118e-01,-8.019993e-02
4.700000e-02,9.840411e-01,-8.397630e-02
4.800000e-02,9.833569e-01,-8.774607e-02
4.900000e-02,9.826590e-01,-9.150920e-02
5.000000e-02,9.819476e-01,-9.526564e-02
5.100000e-02,9.812227e-01,-9.901537e-02
5.200000e-02,9.804844e-01,-1.027583e-01
5.300000e-02,9.797326e-01,-1.064945e-01
5.400000e-02,9.789675e-01,-1.102239e-01
5.500000e-02,9.781891e-01,-1.139464e-01
5.600000e-02,9.773975e-01,-1.176621e-01
5.700000e-02,9.765926e-01,-1.213708e-01
5.800000e-02,9.757745e-01,-1.250726e-01
5.900000e-02,9.749434e-01,-1.287673e-01
6.000000e-02,9.740992e-01,-1.324551e-01
6.100000e-02,9.732419e-01,-1.361358e-01
6.200000e-02,9.723717e-01,-1.398094e-01
6.300000e-02,9.714886e-01,-1.434759e-01
6.400000e-02,9.705925e-01,-1.471353e-01
6.500000e-02,9.696837e-01,-1.507874e-01
6.600000e-02,9.687620e-01,-1.544324e-01
6.700000e-02,9.678277e-01,-1.580701e-01
6.800000e-02,9.668806e-01,-1.617005e-01
6.900000e-02,9.659209e-01,-1.653237e-01
7.000000e-02,9.649485e-01,-1.689395e-01
7.100000e-02,9.639637e-01,-1.725479e-01
7.200000e-02,9.629663e-01,-1.761489e-01
7.300000e-02,9.619565e-01,-1.797425e-01
7.400000e-02,9.609343e-01,-1.833286e-01
7.500000e-02,9.598997e-01,-1.869073e-01
7.600000e-02,9.588528e-01,-1.904784e-01
7.700000e-02,9.577936e-01,-1.940420e-01
7.800000e-02,9.567222e-01,-1.975980e-01
7.900000e-02,9.556386e-01,-2.011464e-01
8.000000e-02,9.545429e-01,-2.046872e-01
8.100000e-02,9.534351e-01,-2.082203e-01
8.200000e-02,9.523153e-01,-2.117457e-01
8.300000e-02,9.511835e-01,-2.152634e-01
8.400000e-02,9.500398e-01,-2.187733e-01
8.500000e-02,9.488841e-01,-2.222755e-01
8.600000e-02,9.477167e-01,-2.257699e-01
8.700000e-02,9.465374e-01,-2.292564e-01
8.800000e-02,9.453464e-01,-2.327351e-01
8.900000e-02,9.441436e-01,-2.362059e-01
9.000000e-02,9.429292e-01,-2.396688e-01
9.100000e-02,9.417032e-01,-2.431237e-01
